"TOTAL_REVENUE","INSTR_TOTAL_EXP_RATIO","MEDIAN_INCOME","ALL_STUDENT_TEACHER_RATIO","avg_att_rate","povrate","wic_total","health_rank","pop_govhealthins","anti_education","party_state","policy_mood","innovatescore","pollib_median","AVG_ALL_SCORES","grad_rate"
14.44821676,0.954131962748911,11.37183742,15.15924134,94.2524,9.2,19361,34,239.619,0.056193463,0.131578952,55.47999954,0.326232,0.654594,251.3075473,76.3
14.55664858,0.95014968344645,11.31505012,15.20950485,95.0218,9.3,20426,30,243.553,0.056030591,0.244897962,66.26599884,0.008982,0.634893,251.1715781,72.1
14.53706764,0.950810638994554,11.20075638,15.07209805,94.5411,12.3,24028,32,281.655,0.054021082,0,72.7539978,0,0.696238,251.7204274,78.3
14.51225774,0.956734169963121,11.15315373,14.48595097,93.87462857,13.7,22553,31,310.791,0.075466797,0.238095239,64.53212404,0.11178475,0.590377,250.7988821,80
14.57039869,0.957143780527566,11.03701421,13.93820892,93.87462857,14,20797,32,329.8432667,0.077510965,0.203275195,64.53212404,0.11178475,1.1813,255.5566987,87
14.59689397,0.958100518413217,11.10189884,13.8921622,93.87462857,15.5,18998,32,355.2094667,0.083276091,0.219283604,64.53212404,0.11178475,0.990450242,253.8087475,85.5
17.12137182,0.956825029502736,11.21729872,18.37518991,93.4574,12.7,354568,38,5035.07,0.061846733,-0.033502538,40.0719986,0.047489,-0.637407,244.6087263,66.4
17.23420632,0.956559012212282,11.19638812,17.04292799,93.2619,11.1,371365,33,5292.4,0.061021836,-0.040816326,35.23600006,0.13141,-0.803626,247.5339952,63.6
17.39279265,0.954361309809499,11.13936371,16.40464596,93.5348,12.5,420514,34,5251.85,0.056316959,-0.010224949,35.29100037,0.09141,-0.665149,248.5566164,66.9
17.27226615,0.957831835456713,11.06790935,14.11786801,94.6545,14.6,505671,36,5995.44,0.045634417,0.04465213,32.55599976,0.00578,-0.908067,253.1166752,71
