PRIMARY_KEY,STATE,YEAR,Inflation_pegged_2019,ALTERNATIVE_KEY,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,MEDIAN_INCOME,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,KINDERGARTEN_ALL_RATIO_DIFF,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,MEDIAN_INCOME,ALL_STUDENT_TEACHER_RATIO,AVG_ALL_SCORES
2003_MISSISSIPPI,MISSISSIPPI,2003,0.395,2003_MISSISSIPPI,491623,3260771,482904,1754451,1023416,3205193,1702193,965269,203597,267397,44792,441603,222.8906005,260.9119336,205.4644068,266.0116896,21.53419053,492645,31598,5.943172113,,15.33036864,13.42046757,14.71056096,14.17155102,15.31317728,14.68032239,14.11305651,12.55679224,12.82938414,11.04267925,15.59101842,238.8196576
2003_MISSOURI,MISSOURI,2003,0.395,2003_MISSOURI,921625,7622601,559732,3430809,3632060,7905481,4087984,2334521,448752,767068,59893,838568,234.8364254,278.7662503,222.2602301,266.1914352,18.75181002,906499,66717,5.164583376,,16.17952262,13.56810779,15.38120107,15.43820495,16.21596129,15.55645691,14.9962117,13.34712009,13.88322515,11.33320933,13.58722664,250.5135853
2003_MONTANA,MONTANA,2003,0.395,2003_MONTANA,149801,1205602,171819,553269,480514,1214879,687104,384824,48570,75983,46681,137859,235.7549153,285.9280226,222.7465416,253.4482882,17.4278169,149995,10362,2.952329544,,14.335384,12.38709129,13.55649402,13.41550606,14.34304946,13.77313536,13.19343578,11.12365575,11.57115933,11.08398692,14.47548736,249.4694419
2003_NEBRASKA,NEBRASKA,2003,0.395,2003_NEBRASKA,283934,2600831,225861,878715,1496255,2623966,1414919,683210,112145,329746,60184,264823,236.2541084,282.193756,220.6118021,268.3232652,19.41120608,285402,21043,5.848406097,,15.10423598,12.66056946,14.01911031,14.55137029,15.11309189,14.49547726,13.76745197,11.96044237,13.03897236,11.33805623,13.56279998,251.8457329
2003_NEVADA,NEVADA,2003,0.395,2003_NEVADA,369498,2778564,191839,1663026,923699,3009028,1406660,767835,88985,576610,61840,356215,227.5135983,268.0431377,206.9596827,261.5957319,45.25207297,369498,20038,26.81220871,,15.17033922,12.49730617,14.65704381,14.06903596,15.25002208,14.48962307,13.88422456,11.72911751,13.59781582,11.3652001,18.43986426,241.0280377
2003_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2003,0.395,2003_NEW HAMPSHIRE,203702,2028602,101294,957471,969837,2122604,1119824,570036,60830,214807,76050,196877,243.1101422,286.1984687,227.7895085,272.9066451,26.73150685,207671,14977,12.86551232,,14.85575186,11.85867687,14.10494513,14.11777771,14.90104861,14.2615765,13.58634921,11.34873278,12.61038964,11.57204071,13.86599452,257.5011911
2003_NEW_JERSEY,NEW_JERSEY,2003,0.395,2003_NEW JERSEY,1350330,19785039,797717,8135014,10852308,19812932,10169992,6429003,677268,1626453,76704,1217125,238.7765412,281.4071199,225.073328,264.3782925,23.97187171,1367438,107004,11.19255505,,17.13333102,13.92240359,16.24458243,16.53278275,17.13473983,16.4678464,16.00922445,13.75871675,14.63480654,11.58060355,12.77931666,252.4088204
2003_NEW_MEXICO,NEW_MEXICO,2003,0.395,2003_NEW MEXICO,320264,2626262,383513,1905419,337330,2658140,1239571,851701,131177,399406,48045,299430,222.5180092,263.2729067,203.1853126,267.7113584,20.37623762,320234,21172,5.250883382,,15.11396652,13.19002321,14.79310691,13.06171137,15.1260316,14.36317033,13.98788522,12.11719725,13.23062814,11.11278777,15.12535424,239.1718967
2003_NEW_YORK,NEW_YORK,2003,0.395,2003_NEW YORK,2879228,38033080,2591430,17509618,17932032,41603390,24786376,10000845,1156927,4489672,58560,2543604,235.9300755,279.749257,222.1882071,255.010828,15.95261383,2888233,210926,2.259503448,,17.78686128,15.10061482,17.0111553,17.03499358,17.87658663,17.35869912,16.45107456,14.29417233,15.65018462,11.31070156,13.69311038,248.2195919
2003_NORTH_CAROLINA,NORTH_CAROLINA,2003,0.395,2003_NORTH CAROLINA,1314632,9907235,888996,5970302,3047937,9989670,5517870,2721749,528694,940500,51021,1250873,242.0401256,281.2403506,221.2205797,267.3636733,18.15777624,1335954,87677,2.920553249,,16.44167027,14.03074243,15.93520249,15.26286994,16.44995653,15.85639689,15.14967966,13.51105951,14.08706134,11.17288701,15.23722299,252.9661823
2003_NORTH_DAKOTA,NORTH_DAKOTA,2003,0.395,2003_NORTH DAKOTA,103785,882913,126023,306647,450243,895278,448720,239435,60008,81014,55306,95342,237.5773868,287.1446405,221.6422457,269.833416,25.13620072,104225,8078,12.23387341,,14.02387636,12.07711412,12.96634694,13.35043713,14.03778398,13.34704878,12.71893168,11.33512758,11.63527167,11.2535311,12.90232731,254.0494223
2003_OHIO,OHIO,2003,0.395,2003_OHIO,1803966,18018740,1097349,7844992,9076399,18760200,8958790,6097596,800930,2324140,59562,1711392,237.7820679,281.6072954,221.8657991,266.3136904,28.0986701,1838285,125372,13.43602613,,17.0398173,14.24130224,16.20828034,16.3540825,17.08014258,16.34104015,15.95629957,13.92642325,14.99175505,11.32766748,14.66264397,251.8922132
2003_OKLAHOMA,OKLAHOMA,2003,0.395,2003_OKLAHOMA,624202,4426835,563974,2272785,1590076,4376502,2158574,1402007,453806,307213,49136,575495,229.0966213,271.9051513,213.5793571,252.3099157,28.10355583,624548,40638,12.73498454,,15.63608986,13.57565785,14.96941092,14.61218679,15.62465475,14.91785279,14.48630975,13.35831949,12.96819101,11.13524166,15.36857129,241.7227614
2003_OREGON,OREGON,2003,0.395,2003_OREGON,552135,4592019,407432,2348070,1836517,4978764,2458415,1546156,175667,606048,56986,509634,236.3059056,280.8924709,217.6145353,270.734453,38.16583417,554071,27126,17.74000655,,15.67272477,13.25052374,15.00199869,14.75627582,15.75358664,15.04792181,14.58417682,12.40923985,13.64760889,11.28345532,20.42582762,251.3868412
2003_PENNSYLVANIA,PENNSYLVANIA,2003,0.395,2003_PENNSYLVANIA,1757066,19811545,1419644,6912678,11479223,20626459,10151195,5765734,810211,1848552,58759,1696541,235.9470171,278.5377581,218.6984275,267.7869531,26.45111414,1816747,118256,11.08828266,,17.13466982,14.49881111,16.08176209,16.58894368,17.17497964,16.46599641,15.90033744,13.9379444,14.7628076,11.31409403,15.36283148,250.242539
2003_RHODE_ISLAND,RHODE_ISLAND,2003,0.395,2003_RHODE ISLAND,157286,1728055,109011,713197,905847,1646238,971700,525727,64258,31360,61192,148673,230.297962,271.9986944,216.4940152,251.599156,40.79770992,159205,11196,26.57789928,,14.69540147,11.93209849,13.81040737,14.04952011,14.64689766,14.11969681,13.50543176,11.40355592,10.68618289,11.35466616,14.21981065,242.5974569
2003_SOUTH_CAROLINA,SOUTH_CAROLINA,2003,0.395,2003_SOUTH CAROLINA,691736,5709707,535356,2761951,2412400,6024747,2888468,1731328,324241,865462,52663,648213,235.7932235,277.3004496,214.8077245,265.3297945,22.40708769,694389,46529,7.483298223,,15.89057268,13.52358164,15.16434229,15.02902708,15.94428046,15.20913123,14.69729372,13.02213676,14.00391316,11.20456282,14.92378946,248.307798
2003_SOUTH_DAKOTA,SOUTH_DAKOTA,2003,0.395,2003_SOUTH DAKOTA,127632,965778,148498,328576,488704,993823,499480,295468,42694,122247,54090,116336,237.2648206,284.8817364,222.2731786,261.7116448,29.89516129,130048,9257,15.84654943,,14.11358369,12.24122118,13.03541786,13.43240668,14.14220882,13.45421725,12.92921023,10.99470809,12.04669328,11.23129902,14.04861186,251.5328451
