Key,Value
2016_KENTUCKY,686598
2015_KENTUCKY,688640
2014_KENTUCKY,677389
2013_KENTUCKY,685167
2012_KENTUCKY,681987
2011_KENTUCKY,673128
2010_KENTUCKY,680089
2009_KENTUCKY,670030
2008_KENTUCKY,666225
2007_KENTUCKY,683152
2006_KENTUCKY,679878
2005_KENTUCKY,674796
2004_KENTUCKY,663369
2003_KENTUCKY,660782
2002_KENTUCKY,654363
2001_KENTUCKY,665850
2000_KENTUCKY,648180
1999_KENTUCKY,655687
1998_KENTUCKY,669322
1997_KENTUCKY,656089
1996_KENTUCKY,659821
1995_KENTUCKY,657642
1994_KENTUCKY,655265
1993_KENTUCKY,655041
1992_KENTUCKY,646024
1991_KENTUCKY,636401
2018_LOUISIANA,715135
2017_LOUISIANA,716293
2016_LOUISIANA,718711
2015_LOUISIANA,716800
2014_LOUISIANA,711491
2013_LOUISIANA,710903
2012_LOUISIANA,703390
2011_LOUISIANA,696558
2010_LOUISIANA,690915
2009_LOUISIANA,684873
2008_LOUISIANA,681038
2007_LOUISIANA,675851
2006_LOUISIANA,654526
2005_LOUISIANA,724281
2004_LOUISIANA,727709
2003_LOUISIANA,730464
2002_LOUISIANA,731328
2001_LOUISIANA,743089
2000_LOUISIANA,756579
1999_LOUISIANA,768734
1998_LOUISIANA,776813
1997_LOUISIANA,793296
1996_LOUISIANA,797366
1995_LOUISIANA,797933
1994_LOUISIANA,800560
1993_LOUISIANA,797985
1992_LOUISIANA,794128
1991_LOUISIANA,784757
2018_MAINE,180473
2017_MAINE,180512
2016_MAINE,181613
2015_MAINE,182470
2014_MAINE,183995
2013_MAINE,185739
2012_MAINE,188969
2011_MAINE,189077
2010_MAINE,189225
2009_MAINE,192935
2008_MAINE,196245
2007_MAINE,193986
2006_MAINE,195498
2005_MAINE,198820
2004_MAINE,202084
2003_MAINE,204337
2002_MAINE,205586
2001_MAINE,207037
2000_MAINE,209253
1999_MAINE,211051
1998_MAINE,212579
1997_MAINE,213593
1996_MAINE,213569
1995_MAINE,212601
1994_MAINE,216995
1993_MAINE,216453
1992_MAINE,216400
1991_MAINE,215149
2018_MARYLAND,893684
2017_MARYLAND,886221
2016_MARYLAND,879601
2015_MARYLAND,874514
2014_MARYLAND,866169
2013_MARYLAND,859638
2012_MARYLAND,854086
2011_MARYLAND,852211
2010_MARYLAND,848412
2009_MARYLAND,843861
2008_MARYLAND,845700
2007_MARYLAND,851640
2006_MARYLAND,860020
2005_MARYLAND,865561
2004_MARYLAND,869113
2003_MARYLAND,866743
2002_MARYLAND,860640
2001_MARYLAND,852920
2000_MARYLAND,846582
1999_MARYLAND,841671
1998_MARYLAND,830744
1997_MARYLAND,818583
1996_MARYLAND,805544
1995_MARYLAND,790938
1994_MARYLAND,772638
1993_MARYLAND,751850
1992_MARYLAND,736238
1991_MARYLAND,715176
2018_MASSACHUSETTS,964791
2017_MASSACHUSETTS,964514
2016_MASSACHUSETTS,964026
2015_MASSACHUSETTS,955844
2014_MASSACHUSETTS,955739
2013_MASSACHUSETTS,954773
2012_MASSACHUSETTS,953369
2011_MASSACHUSETTS,955563
2010_MASSACHUSETTS,957053
2009_MASSACHUSETTS,958910
2008_MASSACHUSETTS,962958
2007_MASSACHUSETTS,968661
2006_MASSACHUSETTS,971909
2005_MASSACHUSETTS,975574
2004_MASSACHUSETTS,980459
2003_MASSACHUSETTS,982989
2002_MASSACHUSETTS,973140
2001_MASSACHUSETTS,975150
2000_MASSACHUSETTS,971425
1999_MASSACHUSETTS,962317
1998_MASSACHUSETTS,949006
1997_MASSACHUSETTS,933898
1996_MASSACHUSETTS,915007
1995_MASSACHUSETTS,893727
1994_MASSACHUSETTS,877726
1993_MASSACHUSETTS,859948
1992_MASSACHUSETTS,846155
1991_MASSACHUSETTS,834314
2018_MICHIGAN,1516398
2017_MICHIGAN,1528666
2016_MICHIGAN,1536231
2015_MICHIGAN,1537922
2014_MICHIGAN,1548841
2013_MICHIGAN,1555370
2012_MICHIGAN,1573537
2011_MICHIGAN,1587067
2010_MICHIGAN,1649082
2009_MICHIGAN,1659921
2008_MICHIGAN,1692739
2007_MICHIGAN,1722656
2006_MICHIGAN,1742282
2005_MICHIGAN,1751290
2004_MICHIGAN,1757604
2003_MICHIGAN,1785160
2002_MICHIGAN,1730668
2001_MICHIGAN,1720626
2000_MICHIGAN,1725639
1999_MICHIGAN,1720287
1998_MICHIGAN,1702717
1997_MICHIGAN,1685714
1996_MICHIGAN,1641456
1995_MICHIGAN,1614784
1994_MICHIGAN,1599377
1993_MICHIGAN,1603610
1992_MICHIGAN,1593561
1991_MICHIGAN,1584431
2018_MINNESOTA,884944
2017_MINNESOTA,875021
2016_MINNESOTA,864384
2015_MINNESOTA,857235
2014_MINNESOTA,850973
2013_MINNESOTA,845404
2012_MINNESOTA,839738
2011_MINNESOTA,838037
2010_MINNESOTA,837053
2009_MINNESOTA,836048
2008_MINNESOTA,837578
2007_MINNESOTA,840565
2006_MINNESOTA,839243
2005_MINNESOTA,838503
2004_MINNESOTA,842854
2003_MINNESOTA,846891
2002_MINNESOTA,851384
2001_MINNESOTA,854340
2000_MINNESOTA,854034
1999_MINNESOTA,856455
1998_MINNESOTA,853621
1997_MINNESOTA,847204
1996_MINNESOTA,835166
1995_MINNESOTA,821693
1994_MINNESOTA,810233
1993_MINNESOTA,793724
1992_MINNESOTA,773571
1991_MINNESOTA,756374
2018_MISSISSIPPI,478321
2017_MISSISSIPPI,483150
2016_MISSISSIPPI,487200
2015_MISSISSIPPI,490917
2014_MISSISSIPPI,492586
2013_MISSISSIPPI,493650
2012_MISSISSIPPI,490619
2011_MISSISSIPPI,490526
2010_MISSISSIPPI,492481
2009_MISSISSIPPI,491962
2008_MISSISSIPPI,494122
2007_MISSISSIPPI,495026
2006_MISSISSIPPI,494954
2005_MISSISSIPPI,495376
2004_MISSISSIPPI,493540
2003_MISSISSIPPI,492645
2002_MISSISSIPPI,493507
2001_MISSISSIPPI,497871
2000_MISSISSIPPI,500716
1999_MISSISSIPPI,502379
1998_MISSISSIPPI,504792
1997_MISSISSIPPI,503967
1996_MISSISSIPPI,506272
1995_MISSISSIPPI,505962
1994_MISSISSIPPI,505907
1993_MISSISSIPPI,506668
1992_MISSISSIPPI,504127
