Key,Value
2016_NEW HAMPSHIRE,11192
2015_NEW HAMPSHIRE,11580
2014_NEW HAMPSHIRE,11615
2013_NEW HAMPSHIRE,11892
2012_NEW HAMPSHIRE,11915
2011_NEW HAMPSHIRE,11970
2010_NEW HAMPSHIRE,11969
2009_NEW HAMPSHIRE,10968
2008_NEW HAMPSHIRE,10489
2007_NEW HAMPSHIRE,10375
2006_NEW HAMPSHIRE,10360
2005_NEW HAMPSHIRE,10116
2004_NEW HAMPSHIRE,9989
2003_NEW HAMPSHIRE,9757
2002_NEW HAMPSHIRE,9599
2001_NEW HAMPSHIRE,9188
2000_NEW HAMPSHIRE,9048
1999_NEW HAMPSHIRE,8831
1998_NEW HAMPSHIRE,8763
1997_NEW HAMPSHIRE,8569
1996_NEW HAMPSHIRE,8859
1995_NEW HAMPSHIRE,8325
1994_NEW HAMPSHIRE,8194
1993_NEW HAMPSHIRE,7994
1992_NEW HAMPSHIRE,7793
1991_NEW HAMPSHIRE,7467
2018_NEW JERSEY,91077
2017_NEW JERSEY,91197
2016_NEW JERSEY,91870
2015_NEW JERSEY,92560
2014_NEW JERSEY,92017
2013_NEW JERSEY,94830
2012_NEW JERSEY,90955
2011_NEW JERSEY,92413
2010_NEW JERSEY,95251
2009_NEW JERSEY,93504
2008_NEW JERSEY,91115
2007_NEW JERSEY,93043
2006_NEW JERSEY,93151
2005_NEW JERSEY,93157
2004_NEW JERSEY,93201
2003_NEW JERSEY,91189
2002_NEW JERSEY,89533
2001_NEW JERSEY,89912
2000_NEW JERSEY,89520
1999_NEW JERSEY,90689
1998_NEW JERSEY,92171
1997_NEW JERSEY,92831
1996_NEW JERSEY,93978
1995_NEW JERSEY,92316
1994_NEW JERSEY,90827
1993_NEW JERSEY,87427
1992_NEW JERSEY,85469
1991_NEW JERSEY,83551
2018_NEW MEXICO,23709
2017_NEW MEXICO,24301
2016_NEW MEXICO,24696
2015_NEW MEXICO,26660
2014_NEW MEXICO,27368
2013_NEW MEXICO,27662
2012_NEW MEXICO,26954
2011_NEW MEXICO,26688
2010_NEW MEXICO,26266
2009_NEW MEXICO,25680
2008_NEW MEXICO,25796
2007_NEW MEXICO,25668
2006_NEW MEXICO,25140
2005_NEW MEXICO,24624
2004_NEW MEXICO,23636
2003_NEW MEXICO,22638
2002_NEW MEXICO,22137
2001_NEW MEXICO,22065
2000_NEW MEXICO,22557
1999_NEW MEXICO,23759
1998_NEW MEXICO,24346
1997_NEW MEXICO,24324
1996_NEW MEXICO,24329
1995_NEW MEXICO,24055
1994_NEW MEXICO,23723
1993_NEW MEXICO,23723
1992_NEW MEXICO,23276
1991_NEW MEXICO,23280
2018_NEW YORK,193045
2017_NEW YORK,194163
2016_NEW YORK,198024
2015_NEW YORK,200507
2014_NEW YORK,201930
2013_NEW YORK,202670
2012_NEW YORK,197458
2011_NEW YORK,194607
2010_NEW YORK,190741
2009_NEW YORK,187194
2008_NEW YORK,184672
2007_NEW YORK,186373
2006_NEW YORK,189924
2005_NEW YORK,188633
2004_NEW YORK,188638
2003_NEW YORK,189198
2002_NEW YORK,190402
2001_NEW YORK,194673
2000_NEW YORK,199271
1999_NEW YORK,202894
1998_NEW YORK,206548
1997_NEW YORK,210795
1996_NEW YORK,216112
1995_NEW YORK,212239
1994_NEW YORK,205238
1993_NEW YORK,201674
1992_NEW YORK,197128
1991_NEW YORK,193972
2018_NORTH CAROLINA,115064
2017_NORTH CAROLINA,114414
2016_NORTH CAROLINA,116324
2015_NORTH CAROLINA,119730
2014_NORTH CAROLINA,122209
2013_NORTH CAROLINA,121389
2012_NORTH CAROLINA,117944
