PRIMARY_KEY,STATE,YEAR,ALTERNATIVE_KEY,ENROLL,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENTS,KINDERGARTEN_TEACHERS,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,ALL_STUDENT_TEACHER_RATIO,KINDERGARTEN_ALL_RATIO_DIFF,MEDIAN_INCOME,
1992_TENNESSEE,TENNESSEE,1992,1992_TENNESSEE,,,3080490,308571,1305381,1466538,3132516,1830264,799825,,232437,9613,64463,65195,63358,49639,530221,233430,773264,210.9482274,258.8280481,212.5313941,,64183,,,833651,43062,19.35931912,,42782,43062
1992_TEXAS,TEXAS,1992,1992_TEXAS,,,16264180,1160185,6706959,8397036,16119084,7961379,4613884,,1833239,113197,262483,282693,261053,180206,2258666,907423,3279286,217.9187445,264.5928284,212.394311,,258597,10837,23.8624158,3464371,219192,15.80518906,-8.05722674,49177,219192
1992_UTAH,UTAH,1992,1992_UTAH,,,1555799,105349,872510,577940,1547980,841552,396073,,155425,2611,32652,35956,36813,28775,288781,130082,421474,224.0422477,274.3431771,217.3303928,,33193,691,48.03617945,456430,18305,24.93471729,-23.10146216,60257,18305
1992_VERMONT,VERMONT,1992,1992_VERMONT,,,812377,31757,204163,576457,800377,386699,205777,,25781,1780,7978,8329,7227,5573,64107,24099,89986,,,,,8033,278,28.89568345,97137,7031,13.81553122,-15.08015223,57625,7031
1992_VIRGINIA,VIRGINIA,1992,1992_VIRGINIA,,,5631293,313971,2180133,3137189,5744469,2982862,1758078,,523409,1976,82456,79821,76775,60854,645925,273971,921872,220.7629642,267.8637263,213.4572859,,84565,3145,26.88871224,1016204,64537,15.74606815,-11.14264409,67201,64537
1992_WASHINGTON,WASHINGTON,1992,1992_WASHINGTON,,,4870832,263053,3467779,1140000,5360834,2587181,1518521,,855759,5075,68562,74098,67285,53986,578106,244732,827913,,,212.6953858,,68532,,,869327,42931,20.2494002,,59639,42931
1992_WEST_VIRGINIA,WEST_VIRGINIA,1992,1992_WEST VIRGINIA,,,1585099,130117,1021803,433179,1587968,835186,465429,,156015,2308,22081,23556,24791,21844,191101,96241,289650,215.2689284,259.0864484,213.1469347,,22192,829,26.76960193,320249,20997,15.25213126,-11.51747067,35662,20997
1992_WISCONSIN,WISCONSIN,1992,1992_WISCONSIN,,,4993909,217723,2205439,2570747,5181471,2914442,1490415,,416449,16227,61568,63365,60783,55543,507607,239952,763786,228.6920011,277.8791346,224.1745453,,63479,2057,30.85999028,814671,52028,15.6583186,-15.20167168,58598,52028
1992_WYOMING,WYOMING,1992,1992_WYOMING,,,629748,31714,314216,283818,624941,339953,185930,,60815,,7184,8049,8078,6613,64614,28515,,225.3775916,275.0800761,221.1855559,,7606,214,35.54205607,102074,6564,15.55057892,-19.99147716,53146,6564
1993_ALABAMA,ALABAMA,1993,1993_ALABAMA,,,2827391,331409,1729295,766687,2833433,1564558,794146,237222,204207,8264,56598,57497,60004,39900,470775,198651,677690,,,,,55460,3547,15.63574852,731634,41961,17.43604776,1.800299239,43041,41961
1993_ALASKA,ALASKA,1993,1993_ALASKA,,,1191398,176150,775829,239419,1126398,494917,433788,36291,135791,2787,10329,10156,9160,6975,80485,32347,115619,,,,,10152,363,27.96694215,122487,7282,16.82051634,-11.14642581,73670,7282
1993_ARIZONA,ARIZONA,1993,1993_ARIZONA,,,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083,680139,3164,57656,57701,53500,37614,461398,182737,647299,,,,,53497,1631,32.80012262,673477,36076,18.66828362,-14.131839,52355,36076
1993_ARKANSAS,ARKANSAS,1993,1993_ARKANSAS,,,1346909,128196,771079,447634,1376067,782791,386526,68617,97824,1248,34337,34255,36471,27169,280280,125801,407329,,,,,33511,1812,18.49392936,441490,26017,16.96928931,-1.524640049,39535,26017
